OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;MIS_A_JOUR;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;PARC_RELAI;AB_1M_RELA;geo_shape;geo_point_2d
251;134;LA TOUR MAUBOURG ORSAY;45 TER QUAI D'ORSAY;45 TER QUAI D ORSAY;E1;7;Q PARK;WWW.Q-PARK.FR;01 44 18 04 05;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/01/2019;320,00;3090,00;NON;ND;ND;OUI;2160,00;01/01/2019;1,30;2,60;5,20;7,80;10,40;15,60;20,80;36,40;41,60;42,90;42,90;42,90;42,90;42,90;9;ND;ND;ND;130,00;ND;1500,00;11;ND;150,00;415,00;1170,00;ND;649367.4653;6862698.909;2019-05-01;1E 7E 7F 7G 7H 7J 7K 7L 7M 7N 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;3800,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.309851888243394, 48.862331801967365]}";48.862331802,2.30985188824
252;77;LAGRANGE MAUBERT;19 TER RUE LAGRANGE;19 TER RUE LAGRANGE;E1;5;SAEMES;WWW.SAEMES.FR;01 43 25 84 47;185;;VISITEURS ET ABONNES;24h / 24;PREVU;OUI;OUI;OUI;OUI;01/01/2019;258,00;2580,00;OUI;1400,00;2000,00;NON;ND;01/01/2019;1,05;2,10;4,10;6,20;8,20;12,30;16,40;28,70;32,80;36,90;36,90;36,90;36,90;36,90;8;129,00;361,20;1290,00;129,00;361,20;1290,00;16;1,40;90,30;252,80;903,00;10,50;652202.7385;6861376.9162;2019-05-01;1E 4E 5E 5F 5G 5H 5J 6E 6G;0,35;0,70;12,60;OUI;490,00;700,00;NON;ND;3230,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.348644987240127, 48.85065986536522]}";48.8506598654,2.34864498724
254;8;LES HALLES ST EUSTACHE;22 RUE DES HALLES;22 RUE DES HALLES;E1;1;SAEMES;WWW.SAEMES.FR;01 42 36 57 37;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2018;262,00;2620,00;OUI;1572,00;2096,00;NON;ND;01/07/2018;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;5;131,00;363,00;1310,00;131,00;363,00;1310,00;16;1,40;91,70;254,00;917,00;15,00;652057.879;6862433.174;2019-05-01;TROIS PREMIERS ARRONDISSEMENTS;0,35;0,70;12,60;NON;ND;ND;NON;ND;3275,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.346551896305018, 48.86014793509658]}";48.8601479351,2.34655189631
263;117;MAINE BASCH ALESIA;204 TER ET 205 TER AVENUE DU MAINE;204 TER AVENUE DU MAINE;E1;14;INDIGO;WWW.PARKINDIGO.FR;01 43 20 56 99;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/08/2016;193,00;2007,00;NON;ND;ND;NON;ND;01/01/2017;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;10;96,50;275,00;1004,00;96,50;275,00;1004,00;48;1,20;68,00;194,00;707,00;10,00;650495.0137;6859117.8378;2019-05-01;ND;0,30;0,60;10,80;NON;ND;ND;NON;ND;2509,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.325637068308894, 48.83021499784253]}";48.8302149978,2.32563706831
328;57;SAINT SULPICE (GARAGE);8/M PLACE SAINT SULPICE;8 M PLACE SAINT SULPICE;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 43 25 45 57;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;NON;01/08/2016;375,00;3900,00;OUI;2340,00;3120,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;187,50;534,50;1950,00;187,50;534,50;1950,00;5;ND;134,30;382,80;1396,80;ND;651100.2601;6861472.5821;2019-05-01;1E 4E 5E 5H 5J 6E 6F 6G 7L 7M 7N;ND;ND;ND;NON;ND;ND;NON;ND;4875,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.333610716224296, 48.85143745328019]}";48.8514374533,2.33361071622
332;155;SEVRES BABYLONE;1 BIS RUE DE BABYLONE;1 BIS RUE DE BABYLONE;E1;7;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;19/12/2015;290,00;2900,00;OUI;1620,00;2160,00;NON;ND;19/12/2015;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;18;145,00;406,00;1450,00;145,00;406,00;1450,00;40;1,40;101,50;406,00;1450,00;10,00;650477.9353;6861516.1083;2019-05-01;6E 6F 7M 7N 7L;0,35;0,70;12,60;OUI;567,00;756,00;NON;ND;3625,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.325125223113564, 48.851781348476926]}";48.8517813485,2.32512522311
344;138;VERSAILLES REYNAUD;178 AVENUE DE VERSAILLES;178 AVENUE DE VERSAILLES;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 40 71 63 43;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;01/08/2016;206,00;2142,00;NON;ND;ND;NON;ND;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;1;ND;ND;ND;ND;ND;1071,00;20;ND;91,00;259,00;946,00;ND;645871.6408;6860215.3198;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.262520803329149, 48.83971296441354]}";48.8397129644,2.26252080333
350;96;WILSON 2 (SURFACE);16 TER AVENUE DU PRÉSIDENT WILSON;16 TER AVENUE DU PRESIDENT WILSON;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;NON;01/01/2019;137,00;1370,00;OUI;822,00;1096,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;68,50;195,00;685,00;68,50;195,00;685,00;0;ND;ND;ND;ND;ND;648115.279;6862966.066;2019-05-01;16F 16G 16H 16I 16J 16K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.292752216238735, 48.86463464939235]}";48.8646346494,2.29275221624
220;165;FOCH;4, 37 ET 45 AVENUE FOCH;4 AVENUE FOCH;E2;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 00 44 78;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2019;305,00;3050,00;NON;ND;ND;OUI;2065,00;01/01/2019;2,25;3,40;4,50;6,80;9,00;13,50;18,00;31,50;36,00;40,50;45,00;45,00;45,00;45,00;8;152,50;427,00;1525,00;152,50;427,00;1525,00;18;1,50;106,75;298,90;1067,50;10,00;648088.5671;6863976.6195;2019-05-01;TOUT PARIS;0,75;1,15;15,75;NON;ND;ND;NON;ND;3812,50;NON;OUI;75,00;"{""type"": ""Point"", ""coordinates"": [2.292264661090535, 48.87372014795576]}";48.873720148,2.29226466109
242;15;HOCHE;14 QUATER ET 29 TER AVENUE HOCHE;14 QUATER AVENUE HOCHE;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 42 25 75 47;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;295,00;3068,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;10;ND;ND;ND;ND;ND;1539,00;13;ND;171,00;487,00;1778,00;ND;648816.419;6864328.6228;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3224,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.30214490918861, 48.87694386587107]}";48.8769438659,2.30214490919
244;7;HOTEL DE VILLE;6 TER QUAI DE GESVRES;6 TER QUAI DE GESVRES;E1;4;SAEMES;WWW.SAEMES.FR;01 42 71 51 96;180;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/07/2018;269,00;2690,00;OUI;1614,00;2152,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;10;134,50;383,00;1345,00;134,50;383,00;1345,00;79;ND;ND;ND;ND;ND;652256.0057;6862051.3556;2019-05-01;1E 2E 3E 4E 34F 5G 5J 6E 11G;ND;ND;ND;NON;ND;ND;NON;ND;3497,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.349295113172412, 48.856728999155294]}";48.8567289992,2.34929511317
259;127;LYON DIDEROT;198 RUE DE  BERCY;198 RUE DE  BERCY;E1;12;SAEMES;WWW.SAEMES.FR;01 53 17 63 08;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;17/02/2017;ND;ND;NON;ND;ND;NON;ND;15/11/2018;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;35,00;35,00;35,00;35,00;35,00;6;ND;ND;ND;ND;ND;ND;47;2,00;108,60;ND;ND;ND;653924.914;6860700.235;2019-05-01;ND;0,50;1,00;17,50;NON;ND;ND;NON;ND;3500,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.372186164282644, 48.84469992987373]}";48.8446999299,2.37218616428
269;2;MALESHERBES ANJOU;20 TER ET 35 TER BOULEVARD MALESHERBES;20 TER BOULEVARD MALESHERBES;E1;8;SAGS;WWW.SAGS.FR;ND;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/02/2018;280,00;2800,00;OUI;1568,00;2240,00;NON;ND;01/02/2018;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;0;140,00;392,00;1400,00;140,00;392,00;1400,00;19;1,40;98,00;274,40;980,00;10,00;650244.5512;6863842.4424;2019-05-01;1E 2E 8H 8J 8K 8L;0,35;0,70;12,60;OUI;548,80;784,00;NON;ND;3500,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.321672541137676, 48.872683698763616]}";48.8726836988,2.32167254114
180;81;ANDRE HONNORAT;8 BIS RUE AUGUSTE COMTE;8 BIS RUE AUGUSTE COMTE;E1;6;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;01/07/2018;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;3;ND;143,00;364,00;1377,00;ND;651432.1722;6860669.7191;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3442,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.338225384900518, 48.844242440634154]}";48.8442424406,2.3382253849
190;182;BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE);16 RUE ÉMILE DURKHEIM, 43 QUAI FRANÇOIS MAURIAC;43 QUAI FRANCOIS MAURIAC;E2;13;INDIGO;WWW.PARKINDIGO.FR;01 44 06 60 50;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/09/2016;235,00;2350,00;OUI;1410,00;1880,00;NON;ND;01/09/2016;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;16;118,00;329,00;1175,00;118,00;329,00;1175,00;16;1,20;82,00;230,00;823,00;10,00;654243.633;6859557.113;2019-05-01;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,30;0,60;10,80;OUI;493,50;658,00;NON;ND;2938,00;NON;OUI;75,00;"{""type"": ""Point"", ""coordinates"": [2.376651770151295, 48.83444246869697]}";48.8344424687,2.37665177015
281;113;MILTON;31 TER RUE MILTON;31 TER RUE MILTON;E1;9;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;01/07/2013;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;651737.3227;6864540.9032;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.341943526250061, 48.87907836779106]}";48.8790783678,2.34194352625
286;56;NOTRE DAME;9 PARVIS NOTRE-DAME-PLACE JEAN-PAUL II;9 PARVIS NOTRE DAME PLACE JEAN PAUL II;E1;4;SAEMES;WWW.SAEMES.FR;01 56 81 14 20;190;;NON ACCESSIBLE;-;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2017;287,00;3014,00;OUI;1808,40;2411,20;NON;ND;01/01/2019;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;8;ND;ND;ND;143,00;394,00;1507,00;18;1,00;87,00;237,00;904,00;15,00;652094.5603;6861736.3189;2019-06-15;4E 5J;0,30;0,50;ND;NON;ND;ND;OUI;603,00;3891,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.347130366713731, 48.853883916948114]}";48.8538839169,2.34713036671
290;141;PASTEUR 1 (SURFACE);36/M BOULEVARD PASTEUR;36 M BOULEVARD PASTEUR;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;649566.135;6860442.554;2019-05-01;6F 7K 7N 14M 14N 15G 15H 15J 15K 15R;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.312827365817379, 48.8420562033184]}";48.8420562033,2.31282736582
324;44;SAINT MARTIN;243 TER RUE SAINT MARTIN;243 TER RUE SAINT MARTIN;E1;3;INDIGO;WWW.PARKINDIGO.FR;01 42 74 16 00;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;NON;NON;NON;01/08/2016;309,00;3091,00;NON;ND;ND;NON;ND;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;4;ND;ND;ND;ND;ND;ND;34;ND;128,00;363,00;1326,00;ND;652557.9318;6863066.0038;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.353296637492223, 48.865875902558535]}";48.8658759026,2.35329663749
331;147;SEBASTOPOL;37 TER BOULEVARD SÉBASTOPOL;37 TER BOULEVARD SEBASTOPOL;E1;1;INDIGO;WWW.PARKINDIGO.FR;01 40 13 00 65;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;NON;OUI;NON;01/08/2016;245,00;2448,00;NON;ND;ND;OUI;1714,00;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;12;ND;ND;ND;123,00;318,00;1224,00;72;ND;72,00;206,00;728,00;ND;652266.1102;6862527.864;2019-05-01;1E 2E 3E 4E;ND;ND;ND;NON;ND;ND;NON;ND;3178,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.349379311805154, 48.86101493332885]}";48.8610149333,2.34937931181
196;11;CARNOT;14 TER AVENUE CARNOT;14 TER AVENUE CARNOT;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 40 68 91 61;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/08/2016;248,00;2579,00;NON;ND;ND;NON;ND;01/03/2018;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;34,80;37,80;37,80;37,80;37,80;37,80;6;124,00;353,00;1290,00;124,00;353,00;1290,00;10;1,50;86,80;247,50;902,70;10,00;648177.114;6864223.254;2019-05-01;ND;0,35;0,70;12,75;NON;ND;ND;NON;ND;3224,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.293441715262177, 48.87594518931105]}";48.8759451893,2.29344171526
201;189;CHAMPS ELYSEES;62 TER ET 113 AVENUE DES CHAMPS ELYSÉES;113 AVENUE CHAMPS ELYSEES;E2;8;INDIGO;WWW.PARKINDIGO.FR;01 45 61 40 79;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;264,00;2626,50;NON;ND;ND;OUI;1838,55;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;11;ND;ND;ND;132,00;367,00;1313,25;40;ND;72,00;206,00;727,00;ND;648619.27;6863796.7715;2019-05-01;8E 8F 8G 8H 8J 16E 16F 16G 16H 16I 16J 17E;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.299521376738923, 48.87214538254684]}";48.8721453825,2.29952137674
233;191;GRENELLE 2 (SURFACE);16/M ET 19/M BOULEVARD DE GRENELLE;19 M BOULEVARD DE GRENELLE;E2;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;647913.701;6861725.885;2019-05-01;7E 7F 7H 15E 15F 15L 15M 15P 16P 16T;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.290156592826024, 48.85346564942942]}";48.8534656494,2.29015659283
246;162;JEAN BOUIN;17 RUE NUNGESSER ET COLI;17 RUE NUNGESSER ET COLI;E1;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01.46.51.28.68;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;01/01/2019;140,00;1400,00;OUI;537,18;1120,00;NON;ND;01/01/2018;0,85;1,70;3,40;5,10;6,80;10,20;13,60;23,80;27,20;30,60;30,60;30,60;30,60;30,60;11;70,00;196,50;700,00;70,00;196,50;700,00;56;1,15;49,00;137,55;490,00;10,00;645117.4348;6860743.8521;2019-05-01;16R 16S 16T 16U 16V 16W 16X 16Y 16Z /+ riverains rue Ningesser et Coli de Boulogne;0,30;0,60;10,35;OUI;294,00;392,00;NON;ND;1750,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.2521774348089822, 48.84440222548764]}";48.8444022255,2.25217743481
182;143;AUGUSTE BLANQUI (SURFACE);149/M BOULEVARD AUGUSTE BLANQUI;149 M BOULEVARD AUGUSTE BLANQUI;E1;13;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;651724.466;6859205.826;2019-05-01;5E 5F 13F 13G 13H 13J 13K 13L 14H 14P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.34237405049307, 48.83109954133092]}";48.8310995413,2.34237405049
295;168;PICPUS NATION;65/M ET 77/M BOULEVARD DE PICPUS;77 M BOULEVARD DE PICPUS;E2;12;INDIGO;WWW.PARKINDIGO.FR;01 46 28 60 47;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/08/2016;124,00;1290,00;NON;ND;ND;OUI;1188,00;01/08/2016;0,75;1,50;3,00;4,50;6,00;9,00;12,00;21,00;24,00;27,00;27,00;27,00;27,00;27,00;19;62,00;177,00;645,00;62,00;177,00;645,00;40;0,80;43,00;124,00;452,00;10,00;655898.73;6860944.3827;2019-05-01;11E 11F 11G 11H 11J 11K 11L 12E 12G 12H 12J 12M 12N 12P 12R 20E 20F 20G 20H 20J 20K 20L 20M 20N 20P 20R;0,20;0,40;7,20;NON;ND;ND;NON;ND;1613,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.399054775323461, 48.84703366976482]}";48.8470336698,2.39905477532
340;174;TERNES;4, 38 ET 61 AVENUE DES TERNES;4 AVENUE DES TERNES;E3;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/01/2019;240,00;2400,00;OUI;1046,50;1744,50;NON;ND;01/01/2019;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;22;120,00;336,00;1200,00;120,00;336,00;1200,00;100;1,45;84,00;235,20;840,00;10,00;648436.9019;6864467.7266;2019-05-01;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,40;0,75;13,05;OUI;366,00;610,50;NON;ND;3000,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.296953824994446, 48.87816450717553]}";48.8781645072,2.29695382499
349;148;WILSON 1 (SURFACE);38 AVENUE DU PRÉSIDENT WILSON;38 AVENUE DU PRESIDENT WILSON;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;01/01/2019;137,00;1370,00;OUI;822,00;1096,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;68,50;195,00;685,00;68,50;195,00;685,00;0;ND;ND;ND;ND;ND;647895.5878;6862879.8405;2019-05-01;16F 16G 16H 16I 16J 16K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.289768307855145, 48.86384150892645]}";48.8638415089,2.28976830786
198;133;CASERNE MONGE;15 TER RUE GRACIEUSE;15 TER RUE GRACIEUSE;E1;5;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;01/07/2018;197,00;2069,00;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;5;62,00;ND;ND;ND;ND;ND;12;ND;98,00;273,00;1033,00;ND;652396.3529;6860474.8103;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2583,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.351384318323659, 48.842561573354324]}";48.8425615734,2.35138431832
215;131;EURONORD LARIBOISIERE;10 TER RUE AMBROISE PARÉ;10 TER RUE AMBROISE PARE;E1;10;INDIGO;WWW.PARKINDIGO.FR;01 40 16 42 57;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;OUI;01/08/2016;206,00;2143,00;OUI;1285,50;1714,00;NON;ND;01/03/2018;1,15;2,30;4,60;6,90;9,20;13,80;18,40;31,60;35,60;39,60;39,60;39,60;39,60;39,60;10;103,00;294,00;1072,00;103,00;294,00;1072,00;32;1,60;72,00;206,00;750,00;10,00;652481.0187;6864848.9506;2019-05-01;10E 10F 10G 19E 19F 19G 19H 19J 19K 19L 19M 19N 19P;0,40;0,80;13,80;OUI;450,00;600,00;NON;ND;2679,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.352048818187177, 48.881903856234615]}";48.8819038562,2.35204881819
258;10;LUTECE;1 TER BOULEVARD DU PALAIS;1 TER BOULEVARD DU PALAIS;E1;4;INDIGO;WWW.PARKINDIGO.FR;01 40 46 95 61;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;OUI;20/12/2018;250,00;2600,00;OUI;1500,00;2000,00;NON;ND;20/12/2018;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;0;125,00;356,25;1300,00;125,00;356,25;1300,00;9;1,40;87,50;249,40;910,00;10,00;652011.3377;6861876.3163;2019-05-01;1E 4E 5G 5H 5J 6E 34F;0,35;0,70;12,60;OUI;525,00;700,00;NON;ND;3125,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.345980433750558, 48.855136708534594]}";48.8551367085,2.34598043375
187;129;BERCY SEINE VEHICULES LEGERS;180 QUAI DE BERCY;180 QUAI DE BERCY;E1;12;SAEMES;WWW.SAEMES.FR;01 43 07 48 58;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2018;170,00;1700,00;NON;ND;ND;OUI;1190,00;01/07/2018;0,95;1,90;3,80;5,70;7,60;11,40;15,20;26,60;30,40;34,20;34,20;34,20;34,20;34,20;14;ND;ND;ND;85,00;225,50;850,00;10;1,35;68,00;180,00;680,00;15,00;654657.9817;6859498.5961;2019-05-01;12F 12G 12J 12K 12L 13K 13P 13R 13S;0,35;0,65;11,95;NON;ND;ND;OUI;510,00;ND;NON;OUI;75,00;"{""type"": ""Point"", ""coordinates"": [2.382302530858151, 48.83394550308926]}";48.8339455031,2.38230253086
