OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;MIS_A_JOUR;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;PARC_RELAI;AB_1M_RELA;geo_shape;geo_point_2d
235;74;GROS BOULAINVILLIERS;15 RUE DE BOULAINVILLIERS;15 RUE DE BOULAINVILLIERS;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;01/07/2018;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;182,00;ND;ND;ND;ND;6;ND;108,00;290,00;1098,00;ND;646877.7131;6861626.4751;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2744,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.2760511285856833, 48.85248708298225]}";48.852487083,2.27605112859
278;101;MEDITERRANEE;24 ET 40 RUE DE CHÂLON;40 RUE DE CHALON;E1;12;SAEMES;WWW.SAEMES.FR;01 43 07 48 58;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2019;297,00;2970,00;NON;ND;ND;NON;ND;01/01/2019;1,20;2,40;4,80;7,20;9,60;14,40;18,60;30,80;34,80;38,80;38,80;38,80;38,80;38,80;62;148,50;423,00;1485,00;148,50;423,00;1485,00;146;1,60;103,90;296,10;1039,50;15,00;654213.8246;6860678.5011;2019-05-01;ND;0,40;0,80;13,50;NON;ND;ND;OUI;940,00;3710,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.376125002381871, 48.844525069607755]}";48.8445250696,2.37612500238
282;45;MONTHOLON;3 M RUE MAYRAN;3 M RUE MAYRAN;E1;9;INDIGO;WWW.PARKINDIGO.FR;01 42 85 37 57;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/09/2016;235,00;2350,00;OUI;1233,75;1645,00;NON;ND;01/01/2019;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;9;118,00;329,00;1175,00;118,00;329,00;1175,00;37;1,40;109,00;383,00;1089,00;10,00;652017.6411;6864292.8454;2019-05-01;9E 9F 9G 10F 10G;0,35;0,70;12,60;OUI;432,00;576,00;NON;ND;3111,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.345793483748113, 48.87686859931956]}";48.8768685993,2.34579348375
284;170;MONTPARNASSE;120 QUATER ET 139 TER BOULEVARD MONTPARNASSE;139 TER BOULEVARD DU MONTPARNASSE;E2;6;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;NON;NON;01/08/2016;209,00;2174,00;NON;ND;ND;NON;ND;01/03/2018;1,15;2,30;4,60;6,90;9,20;13,80;18,40;31,60;35,60;39,60;39,60;39,60;39,60;39,60;0;ND;ND;ND;ND;ND;1087,00;33;ND;79,00;225,00;822,00;ND;651032.7565;6860328.3785;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2714,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.332822588799688, 48.8411425363487]}";48.8411425363,2.3328225888
291;142;PASTEUR 2 (SURFACE);71/M BOULEVARD PASTEUR;71 M BOULEVARD PASTEUR;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;649737.562;6860298.744;2019-05-01;6F 7K 7N 14M 14N 15G 15H 15J 15K 15R;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.315179972810594, 48.84077631463928]}";48.8407763146,2.31517997281
339;173;TERNES;4, 38 ET 61 AVENUE DES TERNES;61 AVENUE DES TERNES;E2;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/01/2019;240,00;2400,00;OUI;1046,50;1744,50;NON;ND;01/01/2019;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;22;120,00;336,00;1200,00;120,00;336,00;1200,00;100;1,45;84,00;235,20;840,00;10,00;648042.7582;6864573.0044;2019-05-01;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,40;0,75;13,05;OUI;366,00;610,50;NON;ND;3000,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.291567212340507, 48.879079556256094]}";48.8790795563,2.29156721234
348;163;WATT (RIVE GAUCHE);50 RUE WATT;50 RUE WATT;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 44 06 60 50;190;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;01/08/2016;89,50;895,00;OUI;429,60;716,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;17;45,00;126,00;448,00;45,00;126,00;448,00;0;ND;31,00;87,00;310,00;5,00;654369.6445;6858665.2972;2019-05-01;TOUT PARIS;ND;ND;ND;OUI;150,36;250,60;NON;ND;1455,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.378464008549721, 48.82643117711773]}";48.8264311771,2.37846400855
225;70;GAY LUSSAC;45 TER RUE GAY-LUSSAC;45 TER RUE GAY LUSSAC;E1;5;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;01/07/2015;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;6;ND;ND;231,00;ND;ND;651813.0268;6860398.6184;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1600,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.343445300079734, 48.84183302279836]}";48.8418330228,2.34344530008
240;136;HENRI MARTIN 1 (SURFACE);95 AVENUE HENRI MARTIN;95 AVENUE HENRI MARTIN;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;01/01/2019;143,60;1436,00;OUI;861,00;1148,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;71,80;205,00;718,00;71,80;205,00;718,00;0;ND;ND;ND;ND;ND;646677.7464;6862910.2289;2019-05-01;16J 16K 16L 16M 16N 16P 16R 16S;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.273165108941483, 48.864015124613395]}";48.8640151246,2.27316510894
243;167;HOCHE;14 QUATER ET 29 TER AVENUE HOCHE;29 TER AVENUE HOCHE;E2;8;INDIGO;WWW.PARKINDIGO.FR;01 42 25 75 47;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;295,00;3068,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;10;ND;ND;ND;ND;ND;1539,00;13;ND;171,00;487,00;1778,00;ND;648764.6749;6864251.7564;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3224,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.301448719804309, 48.87624851522654]}";48.8762485152,2.3014487198
